Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
2025-01-03,Buy,CEG,CONSTELLATION ENERGY COR,1.0,$250.49,,-250.49
2025-01-03,Buy,NVDA,NVIDIA CORP,1.0,$144.776,,-144.78
2025-01-03,Buy,KD,KYNDRYL HLDGS INC,1.0,$37.35,,-37.35
2025-01-03,Sell to Open,MARA 02/07/2025 15.00 P,PUT MARA HLDGS INC $15 EXP 02/07/25,1.0,$0.54,$0.66,53.34
,MoneyLink Transfer,,"Tfr USAA Federal Savin, AARON Y NELSON",,,,5000.0
2025-01-02,Buy,SCHG,SCHWAB US LARGE CAP GROWTH ETF,35.0,$27.909,,-976.82
2025-01-02,Buy,AADR,ADVISORSHARES DORSEY WRIGHT ADR ETF,14.0,$69.539,,-973.55
2025-01-02,Buy,BBAR,BANCO BBVA ARGENTINA S FSPONSORED ADR 1 ADR REPS 3 ORD SHS,25.0,$19.727,,-493.18
2025-01-02,Buy to Close,NMRA 01/17/2025 5.00 P,PUT NEUMORA THERAPEUTICS$5 EXP 01/17/25,1.0,$3.80,$0.66,-380.66
2024-12-27,Long Term Cap Gain Reinvest,OBMCX,OBERWEIS MICRO-CAP,,,,189.18
2024-12-27,Reinvest Shares,OBMCX,OBERWEIS MICRO-CAP,4.16,$45.48,,-189.18
2024-12-27,Reinvest Shares,NVDA,NVIDIA CORP,0.0001,$135.7429,,-0.02
2024-12-27,Reinvest Shares,CGXU,CAPITAL GROUP INTRTNL FOC EQY ETF,0.9804,$24.9498,,-24.46
2024-12-27,Qual Div Reinvest,NVDA,NVIDIA CORP,,,,0.02
2024-12-27,Reinvest Dividend,CGXU,CAPITAL GROUP INTRTNL FOC EQY ETF,,,,24.46
